# Service-image lookup table consumed by bin/detect-versions and bin/check-dependencies.
# Columns are tab-separated. Comment lines start with `#` and blank lines are ignored.
#
# Policy: highest supported version wins for each row. Older runtimes within the
# supported range remain reachable via a manual compose.override.yaml.
#
# `version` is a boundary-aware prefix. A query matches a row when the query
# equals the prefix exactly OR continues with `.` or `-`. Examples:
#   prefix "2.4.9" matches:    2.4.9, 2.4.9-p1, 2.4.9.0
#   prefix "2.4.9" rejects:    2.4.91, 2.4.10
#   prefix "1"     matches:    1.0.5, 1.3.1
#   prefix "1"     rejects:    10.0.0
#
# Rows are matched top-to-bottom; the first match wins. Keep more-specific
# prefixes ABOVE less-specific ones so a 2.4.9-p1 query hits the 2.4.9 row
# before falling through to anything more general.
#
# Sources verified against:
#   - Adobe Commerce: https://experienceleague.adobe.com/docs/commerce-operations/installation-guide/system-requirements.html
#   - Mage-OS:        https://mage-os.org/get-started/system-requirements/
#   - Mage-OS 3.0.0:  https://mage-os.org/releases/2026-05-18-mage-os-3-0-0-release/
#   - Mage-OS 1.x:    composer.json platform requirements of each release tag
#                     (1.0.x supports PHP 8.1-8.3; 1.1.x-1.3.x supports PHP 8.2-8.4)
#   - Cross-reference (Magento Open Source only, per-patch granularity):
#                     https://raw.githubusercontent.com/graycoreio/github-actions-magento2/refs/heads/main/supported-version/src/versions/magento-open-source/individual.json
#
# edition	version	php	opensearch	nginx	db	rabbitmq	cache	composer
magento	2.4.9	8.5-fpm-0	3-0	1.28-0	mariadb:11.8	4.2-0	valkey/valkey:9.1-alpine	2.9.8
magento	2.4.8	8.4-fpm-2	3-0	1.28-0	mariadb:11.8	4.2-0	valkey/valkey:8.1-alpine	2.9.8
magento	2.4.7	8.3-fpm-7	3-0	1.28-0	mariadb:11.8	4.2-0	valkey/valkey:8.1-alpine	2.9.8
magento	2.4.6	8.2-fpm-9	2.12-0	1.28-0	mariadb:10.6	4.2-0	redis:7.2-alpine	2.2.28
magento	2.4.5	8.1-fpm-9	1.2-0	1.22-0	mariadb:10.4	3.11-1	redis:6.2-alpine	2.2.28
magento	2.4.4	8.1-fpm-9	1.2-0	1.26-0	mariadb:10.4	3.9-0	redis:7.2-alpine	2.2.28
magento	2.4.3	7.4-fpm-15	1.2-0	1.18-8	mariadb:10.4	3.8-0	redis:6.0-alpine	2.2.28
magento	2.4.2	7.4-fpm-15	1.2-0	1.18-8	mariadb:10.4	3.8-0	redis:6.0-alpine	2.2.28
mage-os	3	8.5-fpm-0	3-0	1.28-0	mariadb:11.4	4.2-0	valkey/valkey:9.1-alpine	2.9.8
mage-os	2	8.4-fpm-2	3-0	1.28-0	mariadb:11.4	4.2-0	valkey/valkey:8.1-alpine	2.9.8
mage-os	1	8.3-fpm-7	2.12-0	1.28-0	mariadb:10.6	3.13-0	redis:7.2-alpine	2.9.3
